Spectrum Name,Object Type,Subtype,Redshift,Distance (Mpc),Recession Velocity (km/s),Largest Features,FWHM (Å),Velocity Width (km/s),Equivalent Width (km/s)
spec-4752-55653-0217,GALAXY,ELLIPTICAL,0.5786812,2478.3464,173484.25,"Mg_II 2799, [O_II] 3725, [O_II] 3727","622.72, 622.72, 622.72","66665.92, 50088.81, 50051.42","12.27,1.83,2.33"
spec-4752-55653-0277,GALAXY,ELLIPTICAL,0.5458756,2337.8484,163649.39,"H_zeta, Mg_II 2799, H_epsilon","277.33, 197.88, 277.33","21372.46, 21184.48, 20936.36","4.05,12.27,5.24"
spec-0520-52288-0270,GALAXY,ELLIPTICAL,0.15886477,680.378,47626.46,"[O_II] 3725  , [O_II] 3727  , [Ne_III] 3868","698.66, 698.66, 698.66","56197.40, 56155.46, 54124.19","1.83,2.33,2.71"
spec-0519-52283-0023,GALAXY,ELLIPTICAL,0.07779926,333.19476,23323.633,"[O_II] 3725  , [O_II] 3727  , [Ne_III] 3868","816.52, 816.52, 816.52","65677.47, 65628.45, 63254.53","1.83,2.33,2.71"
spec-0519-52283-0039,GALAXY,"SPIRAL 
STARFORMING",0.032827772,140.59312,9841.519,"[O_II] 3725  , [O_II] 3727  , H_epsilon","168.28, 168.28, 171.40","13535.97, 13525.87, 13208.56","1.83,2.33,4.05"
spec-0519-52283-0028,GALAXY,"SPIRAL 
STARFORMING",0.14656785,627.7134,43939.938,"[O_II] 3725  , [O_II] 3727  , [Ne_III] 3868","285.21, 285.21, 285.21","22941.46, 22924.34, 22095.12","1.83,2.33,2.71"
spec-4752-55653-0211,GALAXY,ELLIPTICAL,0.5686625,2435.439,170480.73,"Mg_II 2799, [O_II] 3725, [O_II] 3727","1103.56, 1103.56, 1103.56","118143.70, 88766.16, 88699.91","12.27,1.83,2.33"
spec-4752-55653-0210,GALAXY,ELLIPTICAL,0.5478763,2346.417,164249.19,"Mg_II 2799, [O_II] 3725, [O_II] 3727","721.05, 721.05, 721.05","77193.39, 57998.53, 57955.24","12.27,1.83,2.33"
spec-0519-52283-0029,GALAXY,ELLIPTICAL,0.07727579,330.95285,23166.7,"[O_II] 3725  , [O_II] 3727  , [Ne_III] 3868","647.84, 647.84, 647.84","52109.55, 52070.66, 50187.15","1.83,2.33,2.71"
spec-4752-55653-0272,GALAXY,ELLIPTICAL,0.36735785,1573.3016,110131.12,"Mg_II 2799, [O_II] 3725, [O_II] 3727","2546.12, 2546.12, 2546.12","272579.67, 204800.16, 204647.32","12.27,1.83,2.33"
spec-4752-55653-0264,QSO,,2.3162024,9919.715,694380.06,"Ly_alpha, N_V 1240, C_IV 1549","7872.61, 3787.91, 3047.17","1941437.96, 915198.11, 589564.22","0.00,0.00,0.00"
spec-0519-52283-0030,GALAXY,ELLIPTICAL,0.09001823,385.52554,26986.787,"[O_II] 3725  , [O_II] 3727  , [Ne_III] 3868","766.43, 766.43, 766.43","61648.88, 61602.87, 59374.56","1.83,2.33,2.71"
spec-4752-55653-0268,GALAXY,ELLIPTICAL,0.31989294,1370.0214,95901.49,"Mg_II 2799, [O_II] 3725, [O_II] 3727","996.61, 996.61, 996.61","106694.17, 80163.66, 80103.83","12.27,1.83,2.33"
spec-4752-55653-0213,GALAXY,ELLIPTICAL,0.5456068,2336.6973,163568.81,"Mg_II 2799, H_zeta, H_epsilon","578.72, 736.61, 736.61","61956.37, 56766.23, 55607.91","12.27,4.05,5.24"
spec-0520-52288-0280,STAR,K7,-0.00019338554,-0.82822186,-57.97553,"H_epsilon    , H_delta      , H_beta       ","1037.69, 1037.69, 1037.69","79968.81, 75822.31, 63975.12","4.05,-0.48,-5.39"
spec-4752-55653-0212,GALAXY,ELLIPTICAL,0.3216214,1377.4238,96419.67,"Mg_II 2799, H_zeta, H_epsilon","582.07, 734.73, 734.73","62314.65, 56621.18, 55465.82","12.27,4.05,5.24"
spec-0520-52288-0278,GALAXY,ELLIPTICAL,0.5470484,2342.871,164000.98,"Mg_II 2799   , [O_II] 3725  , [O_II] 3727","268.64, 268.64, 268.64","28759.33, 21608.05, 21591.92","12.27,1.83,2.33"
spec-0520-52288-0274,GALAXY,STARBURST,0.15898918,680.9108,47663.758,"[O_II] 3725  , [O_II] 3727  , [Ne_III] 3868","380.17, 380.17, 380.17","30579.27, 30556.44, 29451.15","1.83,2.33,2.71"
spec-4752-55653-0215,GALAXY,STARBURST,0.19736384,845.2599,59168.19,"[O_II] 3725, [O_II] 3727, [Ne_III] 3868","305.01, 305.01, 305.01","24533.82, 24515.51, 23628.73","1.83,2.33,2.71"
spec-0520-52288-0269,GALAXY,ELLIPTICAL,0.15829028,677.91766,47454.234,"[O_II] 3725  , [O_II] 3727  , [Ne_III] 3868","902.60, 902.60, 902.60","72601.27, 72547.08, 69922.89","1.83,2.33,2.71"
spec-4752-55653-0274,GALAXY,ELLIPTICAL,0.5906017,2529.3992,177057.94,"H_zeta, H_epsilon, H_delta","797.21, 797.21, 797.21","61436.12, 60182.52, 58250.80","4.05,5.24,-0.48"
spec-4752-55653-0262,QSO,,2.3200119,9936.029,695522.06,"N_V 1240, Ly_alpha, C_IV 1549","7334.97, 3933.39, 4899.43","1772205.19, 970001.26, 947938.80","0.00,0.00,0.00"
spec-4752-55653-0219,GALAXY,ELLIPTICAL,0.44434887,1903.0348,133212.44,"Mg_II 2799, [O_II] 3725, [O_II] 3727","590.57, 590.57, 590.57","63224.27, 47502.96, 47467.51","12.27,1.83,2.33"
spec-0520-52288-0264,GALAXY,ELLIPTICAL,0.32181787,1378.2654,96478.58,"[O_II] 3725  , [O_II] 3727  , [Ne_III] 3868","1155.19, 1155.19, 1155.19","92918.83, 92849.48, 89490.91","1.83,2.33,2.71"
spec-4752-55653-0218,QSO,,2.0855567,8931.917,625234.2,"N_V 1240, Ly_alpha, C_IV 1549","21140.14, 6472.03, 7737.11","5107674.46, 1596047.24, 1496971.27","0.00,0.00,0.00"
spec-0519-52283-0021,QSO,,1.9200873,8223.254,575627.75,"C_IV 1549    , He_II 1640   , C_III] 1908","4246.39, 4246.39, 4246.39","821588.91, 776042.47, 666952.85","0.00,0.00,0.00"
spec-4752-55653-0280,GALAXY,ELLIPTICAL,0.5323155,2279.774,159584.17,"H_zeta, H_epsilon, H_delta","453.21, 453.21, 453.21","34926.50, 34213.82, 33115.64","4.05,5.24,-0.48"
